,tipoElemento
LETRA FINANCEIRA,922
DEBENTURE,187
ACAO,167
DPGE,142
FUNDO,140
BDR,109
ETF EXTERIOR,88
CDB,56
TAC,54
COTA FUNDO IMOBILIARIO,19
ETF,15
LFT,13
FUTURO INDICE,13
OPCAO INDICE,12
NTN-B,8
FUTURO CUPOM INDICE,7
LTN,6
NTN-F,5
OPCAO MOEDA,5
OPCAO ACAO,5
EUROBOND,4
FUTURO MOEDA,4
NOTA PROMISSORIA,3
CAIXA,3
COTAS RESGATADAS,2
TIME DEPOSIT,2
GLOBAL,2
ADR,2
ATIVOS DIVERSOS,1
VALORES PAGAR BOLSA,1
COMMODITY,1
ENCARGOS,1
VALORES RECEBER BOLSA,1
VALORES PAGAR,1
CONTRATO CAMBIO,1
FUTURO TREASURY,1
VALORES RECEBER,1
